Gen 388:   aveUtil = 594.666
Gen 389:   aveUtil = 595.673
Gen 390:   aveUtil = 595.851
Gen 391:   aveUtil = 595.732
Gen 392:   aveUtil = 595.75
Gen 393:   aveUtil = 596.106
Gen 394:   aveUtil = 594.969
Gen 395:   aveUtil = 598.425
Gen 396:   aveUtil = 598.616
Gen 397:   aveUtil = 599.778
Gen 398:   aveUtil = 596.054
Gen 399:   aveUtil = 600.033
Gen 400:   aveUtil = 601.712
Gen 401:   aveUtil = 597.452
Gen 402:   aveUtil = 599.664
Gen 403:   aveUtil = 601.535
Gen 404:   aveUtil = 599.894
Gen 405:   aveUtil = 600.323
Gen 406:   aveUtil = 600.346
Gen 407:   aveUtil = 600.674
Gen 408:   aveUtil = 600.564
Gen 409:   aveUtil = 603.782
Gen 410:   aveUtil = 604.384
Gen 411:   aveUtil = 603.874
Gen 412:   aveUtil = 603.563
Gen 413:   aveUtil = 604.456
Gen 414:   aveUtil = 604.055
Gen 415:   aveUtil = 605.142
Gen 416:   aveUtil = 601.765
Gen 417:   aveUtil = 604.292
Gen 418:   aveUtil = 604.421
Gen 419:   aveUtil = 608.235
Gen 420:   aveUtil = 606.608
Gen 421:   aveUtil = 607.834
Gen 422:   aveUtil = 605.897
Gen 423:   aveUtil = 604.511
Gen 424:   aveUtil = 605.797
Gen 425:   aveUtil = 604.902
Gen 426:   aveUtil = 604.457
Gen 427:   aveUtil = 605.439
Gen 428:   aveUtil = 605.541
Gen 429:   aveUtil = 604.17
Gen 430:   aveUtil = 605.352
Gen 431:   aveUtil = 602.93
Gen 432:   aveUtil = 607.431
Gen 433:   aveUtil = 609.402
Gen 434:   aveUtil = 607.599
Gen 435:   aveUtil = 609.756
Gen 436:   aveUtil = 608.629
Gen 437:   aveUtil = 607.854
Gen 438:   aveUtil = 607.397
Gen 439:   aveUtil = 609.186
Gen 440:   aveUtil = 604.653
Gen 441:   aveUtil = 609.793
Gen 442:   aveUtil = 608.133
Gen 443:   aveUtil = 607.154
Gen 444:   aveUtil = 607.354
Gen 445:   aveUtil = 608.351
Gen 446:   aveUtil = 609.637
Gen 447:   aveUtil = 607.573
Gen 448:   aveUtil = 606.549
Gen 449:   aveUtil = 608.007
Gen 450:   aveUtil = 610.423
Gen 451:   aveUtil = 607.663
Gen 452:   aveUtil = 607.169
