Gen 490:    aveUtil = 570.327
Gen 491:    aveUtil = 570.509
Gen 492:    aveUtil = 570.828
Gen 493:    aveUtil = 573.076
Gen 494:    aveUtil = 569.972
Gen 495:    aveUtil = 570.015
Gen 496:    aveUtil = 563.109
Gen 497:    aveUtil = 574.003
Gen 498:    aveUtil = 572.234
Gen 499:    aveUtil = 572.381
Gen 500:    aveUtil = 567.422
Gen 501:    aveUtil = 569.168
Gen 502:    aveUtil = 570.118
Gen 503:    aveUtil = 571.465
Gen 504:    aveUtil = 572.909
Gen 505:    aveUtil = 576.047
Gen 506:    aveUtil = 575.589
Gen 507:    aveUtil = 575.203
Gen 508:    aveUtil = 570.309
Gen 509:    aveUtil = 573.852
Gen 510:    aveUtil = 580.253
Gen 511:    aveUtil = 580.117
Gen 512:    aveUtil = 576.052
Gen 513:    aveUtil = 577.983
Gen 514:    aveUtil = 574.492
Gen 515:    aveUtil = 576.831
Gen 516:    aveUtil = 576.795
Gen 517:    aveUtil = 583.287
Gen 518:    aveUtil = 581.847
Gen 519:    aveUtil = 580.254
Gen 520:    aveUtil = 576.27
Gen 521:    aveUtil = 577.656
Gen 522:    aveUtil = 579.482
Gen 523:    aveUtil = 583.091
Gen 524:    aveUtil = 578.913
Gen 525:    aveUtil = 578.582
Gen 526:    aveUtil = 576.931
Gen 527:    aveUtil = 573.278
Gen 528:    aveUtil = 576.336
Gen 529:    aveUtil = 574.413
Gen 530:    aveUtil = 576.977
Gen 531:    aveUtil = 572.231
Gen 532:    aveUtil = 578.309
Gen 533:    aveUtil = 582.702
Gen 534:    aveUtil = 579.715
Gen 535:    aveUtil = 582.421
Gen 536:    aveUtil = 578.721
Gen 537:    aveUtil = 579.69
Gen 538:    aveUtil = 578.999
Gen 539:    aveUtil = 578.921
Gen 540:    aveUtil = 578.403
Gen 541:    aveUtil = 576.689
Gen 542:    aveUtil = 581.637
Gen 543:    aveUtil = 578.535
Gen 544:    aveUtil = 579.984
Gen 545:    aveUtil = 577.244
Gen 546:    aveUtil = 577.235
Gen 547:    aveUtil = 584.73
Gen 548:    aveUtil = 581.591
Gen 549:    aveUtil = 580.104
Gen 550:    aveUtil = 583.045
Gen 551:    aveUtil = 584.304
Gen 552:    aveUtil = 581.745
Gen 553:    aveUtil = 583.871
Gen 554:    aveUtil = 579.776
Gen 555:    aveUtil = 583.143
Gen 556:    aveUtil = 584.786
Gen 557:    aveUtil = 580.93
Gen 558:    aveUtil = 582.857
Gen 559:    aveUtil = 580.303
