Gen 395:    aveUtil = 460.91460000000046
Gen 396:    aveUtil = 458.16020000000077
Gen 397:    aveUtil = 461.57700000000085
Gen 398:    aveUtil = 458.0950000000003
Gen 399:    aveUtil = 465.8568000000003
Gen 400:    aveUtil = 462.3198000000006
Gen 401:    aveUtil = 466.9168000000001
Gen 402:    aveUtil = 464.78239999999994
Gen 403:    aveUtil = 464.41139999999984
Gen 404:    aveUtil = 467.5135999999999
Gen 405:    aveUtil = 463.0351999999998
Gen 406:    aveUtil = 465.98080000000004
Gen 407:    aveUtil = 464.5263999999995
Gen 408:    aveUtil = 465.5419999999995
Gen 409:    aveUtil = 468.53439999999966
Gen 410:    aveUtil = 468.48720000000054
Gen 411:    aveUtil = 471.04000000000025
Gen 412:    aveUtil = 464.6148000000005
Gen 413:    aveUtil = 459.2922000000008
Gen 414:    aveUtil = 467.4740000000001
Gen 415:    aveUtil = 461.4797999999996
Gen 416:    aveUtil = 458.0859999999999
Gen 417:    aveUtil = 463.94860000000017
Gen 418:    aveUtil = 468.9835999999999
Gen 419:    aveUtil = 470.5482000000004
Gen 420:    aveUtil = 471.6885999999999
Gen 421:    aveUtil = 473.53079999999983
Gen 422:    aveUtil = 462.33739999999955
Gen 423:    aveUtil = 463.47300000000007
Gen 424:    aveUtil = 469.8556000000003
Gen 425:    aveUtil = 472.19940000000094
Gen 426:    aveUtil = 468.0157999999997
Gen 427:    aveUtil = 468.6691999999994
Gen 428:    aveUtil = 470.0124000000001
Gen 429:    aveUtil = 462.41179999999974
Gen 430:    aveUtil = 466.21660000000014
Gen 431:    aveUtil = 445.8045999999998
Gen 432:    aveUtil = 458.0194000000002
Gen 433:    aveUtil = 457.01320000000027
Gen 434:    aveUtil = 458.01660000000055
Gen 435:    aveUtil = 458.3300000000007
Gen 436:    aveUtil = 460.89180000000067
Gen 437:    aveUtil = 469.55720000000053
Gen 438:    aveUtil = 466.2176000000004
Gen 439:    aveUtil = 462.9808000000004
Gen 440:    aveUtil = 467.4930000000003
Gen 441:    aveUtil = 449.7432000000001
Gen 442:    aveUtil = 460.3485999999998
Gen 443:    aveUtil = 458.5095999999997
Gen 444:    aveUtil = 462.0881999999999
Gen 445:    aveUtil = 459.1499999999997
Gen 446:    aveUtil = 462.1617999999999
Gen 447:    aveUtil = 465.74500000000035
Gen 448:    aveUtil = 469.6844
Gen 449:    aveUtil = 468.34359999999987
Gen 450:    aveUtil = 466.0595999999997
Gen 451:    aveUtil = 467.21719999999965
Gen 452:    aveUtil = 469.94500000000033
Gen 453:    aveUtil = 470.25440000000054
Gen 454:    aveUtil = 467.2708000000007
Gen 455:    aveUtil = 461.69880000000046
Gen 456:    aveUtil = 462.0414000000008
Gen 457:    aveUtil = 459.1976000000006
Gen 458:    aveUtil = 464.8304000000005
Gen 459:    aveUtil = 463.93980000000005
Gen 460:    aveUtil = 461.2930000000001
Gen 461:    aveUtil = 454.8530000000004
Gen 462:    aveUtil = 466.07879999999983
Gen 463:    aveUtil = 475.26539999999966
Gen 464:    aveUtil = 466.4639999999997
Gen 465:    aveUtil = 464.95079999999916
Gen 466:    aveUtil = 464.28399999999965
Gen 467:    aveUtil = 473.3375999999995
Gen 468:    aveUtil = 460.80839999999984
Gen 469:    aveUtil = 465.9773999999998
Gen 470:    aveUtil = 463.43080000000003
Gen 471:    aveUtil = 467.48740000000026
Gen 472:    aveUtil = 480.0268000000004
Gen 473:    aveUtil = 469.80640000000005
Gen 474:    aveUtil = 465.96299999999985
Gen 475:    aveUtil = 462.2651999999996
Gen 476:    aveUtil = 468.66119999999967
Gen 477:    aveUtil = 465.7395999999997
Gen 478:    aveUtil = 467.5745999999995
Gen 479:    aveUtil = 467.3988000000002
Gen 480:    aveUtil = 469.4006000000004
Gen 481:    aveUtil = 463.91600000000017
Gen 482:    aveUtil = 463.6302000000004
Gen 483:    aveUtil = 461.7072000000003
Gen 484:    aveUtil = 472.0966000000004
Gen 485:    aveUtil = 465.3696000000006
Gen 486:    aveUtil = 470.72320000000013
Gen 487:    aveUtil = 476.1691999999998
Gen 488:    aveUtil = 465.77739999999994
Gen 489:    aveUtil = 475.41219999999976
Gen 490:    aveUtil = 473.9388000000002
Gen 491:    aveUtil = 470.05880000000053
Gen 492:    aveUtil = 475.3528000000007
Gen 493:    aveUtil = 477.2316000000003
Gen 494:    aveUtil = 477.11519999999985
Gen 495:    aveUtil = 478.76179999999965
Gen 496:    aveUtil = 474.4813999999999
Gen 497:    aveUtil = 477.98859999999956
Gen 498:    aveUtil = 480.23200000000014
Gen 499:    aveUtil = 476.18820000000017
Gen 500:    aveUtil = 474.81340000000057
Gen 501:    aveUtil = 477.26860000000056
Gen 502:    aveUtil = 483.17680000000024
Gen 503:    aveUtil = 477.8680000000008
Gen 504:    aveUtil = 483.02560000000045
Gen 505:    aveUtil = 478.4679999999998
Gen 506:    aveUtil = 472.36940000000016
Gen 507:    aveUtil = 472.0290000000006
Gen 508:    aveUtil = 475.7964000000004
Gen 509:    aveUtil = 470.7208000000007
Gen 510:    aveUtil = 475.5120000000005
Gen 511:    aveUtil = 476.00600000000014
Gen 512:    aveUtil = 469.7753999999997
Gen 513:    aveUtil = 474.2239999999997
Gen 514:    aveUtil = 472.40200000000016
Gen 515:    aveUtil = 471.6123999999998
Gen 516:    aveUtil = 476.10019999999975
Gen 517:    aveUtil = 474.0049999999997
Gen 518:    aveUtil = 475.2765999999993
Gen 519:    aveUtil = 470.96999999999963
Gen 520:    aveUtil = 471.87259999999924
Gen 521:    aveUtil = 470.94059999999956
Gen 522:    aveUtil = 468.9481999999999
Gen 523:    aveUtil = 459.49320000000006
Gen 524:    aveUtil = 465.2781999999996
Gen 525:    aveUtil = 472.3485999999995
Gen 526:    aveUtil = 476.5215999999994
Gen 527:    aveUtil = 467.49499999999995
Gen 528:    aveUtil = 465.5777999999999
Gen 529:    aveUtil = 466.1272000000001
Gen 530:    aveUtil = 472.70259999999985
Gen 531:    aveUtil = 476.25579999999974
Gen 532:    aveUtil = 478.60560000000004
Gen 533:    aveUtil = 477.68440000000004
Gen 534:    aveUtil = 479.2516000000002
Gen 535:    aveUtil = 482.1984000000001
Gen 536:    aveUtil = 485.58800000000053
Gen 537:    aveUtil = 475.56000000000046
Gen 538:    aveUtil = 474.91040000000015
Gen 539:    aveUtil = 473.89440000000036
Gen 540:    aveUtil = 470.4933999999997
Gen 541:    aveUtil = 480.67399999999986
Gen 542:    aveUtil = 478.8938000000005
Gen 543:    aveUtil = 479.2066000000004
